"UF","Estado","Regiao","Sexo","TipoDeTrabalho","Quantidade"
MS,Mato Grosso do Sul,Centro-Oeste,"2",SERVIÇOS DOMÉSTICOS,3031
MT,Mato Grosso,Centro-Oeste,"1","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",565
MT,Mato Grosso,Centro-Oeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",7084
MT,Mato Grosso,Centro-Oeste,"1",ALOJAMENTO E ALIMENTAÇÃO,2959
MT,Mato Grosso,Centro-Oeste,"1",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,438
MT,Mato Grosso,Centro-Oeste,"1","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",292
MT,Mato Grosso,Centro-Oeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,8209
MT,Mato Grosso,Centro-Oeste,"1",CONSTRUÇÃO,2099
MT,Mato Grosso,Centro-Oeste,"1",EDUCAÇÃO,507
MT,Mato Grosso,Centro-Oeste,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,1853
MT,Mato Grosso,Centro-Oeste,"1",INDÚSTRIAS EXTRATIVAS,619
MT,Mato Grosso,Centro-Oeste,"1",INFORMAÇÃO E COMUNICAÇÃO,610
MT,Mato Grosso,Centro-Oeste,"1",OUTRAS ATIVIDADES DE SERVIÇOS,339
MT,Mato Grosso,Centro-Oeste,"1",SERVIÇOS DOMÉSTICOS,235
MT,Mato Grosso,Centro-Oeste,"1","TRANSPORTE, ARMAZENAGEM E CORREIO",382
MT,Mato Grosso,Centro-Oeste,"2","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1770
